sample_id	target_or_control	read1	read2
A1_H3K27_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/A1_H3K27_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/A1_H3K27_2.fq.gz
A1_H3K4_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/A1_H3K4_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/A1_H3K4_2.fq.gz
A1_H3K9_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/A1_H3K9_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/A1_H3K9_2.fq.gz
A1_IgG_IRI	control	/active/nguyen_e/test_data/raw_data_IRI_20200409/A1_IgG_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/A1_IgG_2.fq.gz
A1_Yap_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/A1_Yap_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/A1_Yap_2.fq.gz
A2_H3K27_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/A2_H3K27_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/A2_H3K27_2.fq.gz
A2_H3K4_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/A2_H3K4_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/A2_H3K4_2.fq.gz
A2_H3K9_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/A2_H3K9_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/A2_H3K9_2.fq.gz
A2_IgG_IRI	control	/active/nguyen_e/test_data/raw_data_IRI_20200409/A2_IgG_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/A2_IgG_2.fq.gz
A2_Yap_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/A2_Yap_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/A2_Yap_2.fq.gz
M1_H3K27_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/M1_H3K27_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/M1_H3K27_2.fq.gz
M1_H3K4_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/M1_H3K4_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/M1_H3K4_2.fq.gz
M1_H3K9_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/M1_H3K9_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/M1_H3K9_2.fq.gz
M1_IgG_IRI	control	/active/nguyen_e/test_data/raw_data_IRI_20200409/M1_IgG_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/M1_IgG_2.fq.gz
M1_Yap_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/M1_Yap_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/M1_Yap_2.fq.gz
M2_H3K27_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/M2_H3K27_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/M2_H3K27_2.fq.gz
M2_H3K4_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/M2_H3K4_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/M2_H3K4_2.fq.gz
M2_H3K9_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/M2_H3K9_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/M2_H3K9_2.fq.gz
M2_IgG_IRI	control	/active/nguyen_e/test_data/raw_data_IRI_20200409/M2_IgG_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/M2_IgG_2.fq.gz
M2_Yap_IRI	target	/active/nguyen_e/test_data/raw_data_IRI_20200409/M2_Yap_1.fq.gz	/active/nguyen_e/test_data/raw_data_IRI_20200409/M2_Yap_2.fq.gz
A1_H3K27_NK	target	/active/nguyen_e/test_data/raw_data_NK_20200215/A1_H3K27_1.fq.gz	/active/nguyen_e/test_data/raw_data_NK_20200215/A1_H3K27_2.fq.gz
A1_H3K4_NK	target	/active/nguyen_e/test_data/raw_data_NK_20200215/A1_H3K4_1.fq.gz	/active/nguyen_e/test_data/raw_data_NK_20200215/A1_H3K4_2.fq.gz
A1_H3K9_NK	target	/active/nguyen_e/test_data/raw_data_NK_20200215/A1_H3K9_1.fq.gz	/active/nguyen_e/test_data/raw_data_NK_20200215/A1_H3K9_2.fq.gz
A1_IgG_NK	control	/active/nguyen_e/test_data/raw_data_NK_20200215/A1_IgG_1.fq.gz	/active/nguyen_e/test_data/raw_data_NK_20200215/A1_IgG_2.fq.gz
A1_Yap_NK	target	/active/nguyen_e/test_data/raw_data_NK_20200215/A1_Yap_1.fq.gz	/active/nguyen_e/test_data/raw_data_NK_20200215/A1_Yap_2.fq.gz
A2_H3K27_NK	target	/active/nguyen_e/test_data/raw_data_NK_20200215/A2_H3K27_1.fq.gz	/active/nguyen_e/test_data/raw_data_NK_20200215/A2_H3K27_2.fq.gz
A2_H3K4_NK	target	/active/nguyen_e/test_data/raw_data_NK_20200215/A2_H3K4_1.fq.gz	/active/nguyen_e/test_data/raw_data_NK_20200215/A2_H3K4_2.fq.gz
A2_H3K9_NK	target	/active/nguyen_e/test_data/raw_data_NK_20200215/A2_H3K9_1.fq.gz	/active/nguyen_e/test_data/raw_data_NK_20200215/A2_H3K9_2.fq.gz
A2_IgG_NK	control	/active/nguyen_e/test_data/raw_data_NK_20200215/A2_IgG_1.fq.gz	/active/nguyen_e/test_data/raw_data_NK_20200215/A2_IgG_2.fq.gz
